"","Protein.Group","Protein.Ids","Protein.Names","Genes","First.Protein.Description","peptide.length","start","intensity_0nM_R1","intensity_0nM_R2","intensity_0nM_R3","intensity_0nM_R4","intensity_02nM_R1","intensity_02nM_R2","intensity_02nM_R3","intensity_02nM_R4","intensity_2nM_R1","intensity_2nM_R2","intensity_2nM_R3","intensity_2nM_R4","intensity_2uM_R1","intensity_2uM_R2","intensity_2uM_R3","intensity_2uM_R4","intensity_20nM_R1","intensity_20nM_R2","intensity_20nM_R3","intensity_20nM_R4","intensity_20uM_R1","intensity_20uM_R2","intensity_20uM_R3","intensity_20uM_R4","intensity_100uM_R1","intensity_100uM_R2","intensity_100uM_R3","intensity_100uM_R4","intensity_200nM_R1","intensity_200nM_R2","intensity_200nM_R3","intensity_200nM_R4","quantified.in.rep1.?","quantified.in.rep2.?","quantified.in.rep3.?","quantified.in.rep4.?","Nr.of.replicates.(quantified)","stabilized.in.rep1.?","stabilized.in.rep2.?","stabilized.in.rep3.?","stabilized.in.rep4.?","Nr.of.replicates.(stabilized)","destabilized.in.rep1.?","destabilized.in.rep2.?","destabilized.in.rep3.?","destabilized.in.rep4.?","Nr.of.replicates.(destabilized)","regulation","pEC50_rep1","R2_rep1","lower_rep1","upper_rep1","Ratio_0nM_0nM_R1","Ratio_02nM_0nM_R1","Ratio_2nM_0nM_R1","Ratio_20nM_0nM_R1","Ratio_200nM_0nM_R1","Ratio_2uM_0nM_R1","Ratio_20uM_0nM_R1","Ratio_100uM_0nM_R1","pEC50_rep2","R2_rep2","lower_rep2","upper_rep2","Ratio_0nM_0nM_R2","Ratio_02nM_0nM_R2","Ratio_2nM_0nM_R2","Ratio_20nM_0nM_R2","Ratio_200nM_0nM_R2","Ratio_2uM_0nM_R2","Ratio_20uM_0nM_R2","Ratio_100uM_0nM_R2","pEC50_rep3","R2_rep3","lower_rep3","upper_rep3","Ratio_0nM_0nM_R3","Ratio_02nM_0nM_R3","Ratio_2nM_0nM_R3","Ratio_20nM_0nM_R3","Ratio_200nM_0nM_R3","Ratio_2uM_0nM_R3","Ratio_20uM_0nM_R3","Ratio_100uM_0nM_R3","pEC50_rep4","R2_rep4","lower_rep4","upper_rep4","Ratio_0nM_0nM_R4","Ratio_02nM_0nM_R4","Ratio_2nM_0nM_R4","Ratio_20nM_0nM_R4","Ratio_200nM_0nM_R4","Ratio_2uM_0nM_R4","Ratio_20uM_0nM_R4","Ratio_100uM_0nM_R4","CV_pEC50","mean_pEC50","is.kinase","end","Protein.kinase","domain","location","D_start","D_end","D_start2","D_end2","in.domain"
"184","Q15418","Q15418","KS6A1_HUMAN","RPS6KA1","Ribosomal protein S6 kinase alpha-1",9,268,255338.5,239996.4,223487.5,241466.9,256407.3,254339.2,240431.2,264557.2,236912,255014.3,269893.8,240008.8,125428.8,110770.39,89565.16,101805,280476.1,257449.8,258847.3,203839.9,110566.1,120364,71575.23,123570.88,120649.1,113754,103032.4,137296.9,150524.56,188909.6,110998,158925.4,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.8007,0.9701,0.465581331489257,1.00761945959454,1,1.00418581608336,0.927835011171445,1.09844813845151,0.589509846732866,0.491225569195401,0.433017739197183,0.47250649627847,6.686,0.9927,0.479022664959165,1.0487718479515,1,1.05976256310511,1.06257552196616,1.07272359085386,0.787135140360439,0.46155021491989,0.50152418952951,0.473982109731646,6.849,0.9648,0.394011952985273,1.11042714217757,1,1.07581497846636,1.20764606521618,1.15821824486828,0.496663124335813,0.400761384864925,0.320265026008166,0.461020862464344,7.3646,0.9524,0.503432621692369,1.04204447178081,1,1.09562511466375,0.993961491202314,0.844173259357701,0.658166398790062,0.421610580994745,0.511750803112145,0.568595115935145,0.0434486491327817,6.925075,"yes",276,"Protein kinase","domain","62-321;418-675;",62,321,418,675,"yes"
"185","Q9BVS4","Q9BVS4","RIOK2_HUMAN","RIOK2","Serine/threonine-protein kinase RIO2",12,172,471325,507075,462047,538435,446136,472237,530339,439727,470699,424397,366776,493180,270970,308946,406012,307620,421595,385853,487499,415771,132675,147630,189456,156897,115584,82663,99582.3,68600.3,409792,441674,483685,429044,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",5.7479,0.9912,0.205857426179262,0.968129470239924,1,0.94655704662388,0.998671829417069,0.894488940752135,0.869446772396966,0.574911154723386,0.281493661486236,0.24523205855832,5.2369,0.9514,0.0317853085987528,0.903459803624705,1,0.931296159345265,0.836951141349899,0.760938717152295,0.871023024207464,0.609270817926342,0.291140363851501,0.163019277227235,5.0451,0.9106,0.171216736157978,1.00916706501145,1,1.14780314556744,0.79380669066134,1.05508530517458,1.04683073366995,0.878724458767182,0.41003620843767,0.215524178276236,4.8887,0.9645,-0.209326201574566,0.916040565282836,1,0.816676107608161,0.915950857577981,0.772184200507025,0.796835272595578,0.571322443749013,0.291394504443433,0.127406836479798,0.07145675665482,5.22965,"yes",183,"Protein kinase","domain","97-272;",97,272,NA,NA,"yes"
"186","P05771","P05771","KPCB_HUMAN","PRKCB","Protein kinase C beta type",10,362,2190000,1790000,2020000,1800000,2020000,1950000,1980000,2110000,2090000,2040000,2070000,1990000,197822,193547,191179,179399,1900000,1740000,2060000,2080000,72010.5,72254.4,76297.8,85812.6,71911.5,73441,95275.9,89036.3,620240,645958,632586,644368,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",7.0261,0.9969,0.0459271650250146,0.961851923089876,1,0.922374429223744,0.954337899543379,0.867579908675799,0.283214611872146,0.0903296803652968,0.0328815068493151,0.032836301369863,6.9749,0.993,0.0544671326804031,1.07756770832911,1,1.08938547486034,1.13966480446927,0.972067039106145,0.360870391061453,0.108126815642458,0.0403655865921788,0.0410284916201117,6.7856,0.9981,0.0598590275381306,1.00619401347539,1,0.98019801980198,1.02475247524752,1.01980198019802,0.313161386138614,0.0946430693069307,0.0377711881188119,0.0471662871287129,6.7754,0.9899,0.0656029401633854,1.10833596252319,1,1.17222222222222,1.10555555555556,1.15555555555556,0.357982222222222,0.0996661111111111,0.0476736666666667,0.0494646111111111,0.0186913546623183,6.8905,"yes",371,"Protein kinase","domain","342-600;",342,600,NA,NA,"yes"
"187","O14757","O14757","CHK1_HUMAN","CHEK1","Serine/threonine-protein kinase Chk1",12,233,475041,529018,532300,550749,552763,539808,538052,525107,512153,496051,467863,477034,95572.8,72252.6,56490,73744.2,522608,485821,498989,468268,76570.2,78207.5,68596.7,61030.5,68475.5,61501.4,55400.7,46637.3,191327,182505,130885,155049,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.8114,0.9899,0.168858457844839,1.08547252828142,1,1.1636111409331,1.07812378299978,1.10013240962359,0.4027589197564,0.201188528990129,0.161186508111931,0.144146505249021,7.014,0.9968,0.130469483419323,0.987842257873693,1,1.02039628141197,0.937682649739706,0.918344933442718,0.344988261268993,0.136578717548363,0.147835234339852,0.116255779576498,7.029,0.9917,0.112708026560765,0.963574589132192,1,1.01080593650197,0.878946083035882,0.937420627465715,0.245885778696224,0.106124365959046,0.128868495209468,0.104077963554387,7.0955,0.9921,0.105718865634963,0.94391702379317,1,0.953441585913002,0.866154999827508,0.850238493397174,0.281523888377464,0.133898018879744,0.110813637428302,0.084679772455329,0.0175471249319393,6.987475,"yes",244,"Protein kinase","domain","9-265;",9,265,NA,NA,"yes"
"188","P31751","P31751","AKT2_HUMAN","AKT2","RAC-beta serine/threonine-protein kinase",17,421,315939,365774,331500,388165,336546,326524,314870,343146,343488,332349,314591,342711,222840,243853,290348,271698,306569,332519,318711,332898,136987,148099,145574,120757,113179,104028,113581,102275,363203,377766,316213,338279,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",5.7104,0.9652,0.39590191554175,1.05447160264475,1,1.06522461614426,1.08719721212006,0.970342376218194,1.14959849844432,0.705326028125682,0.4335868632869,0.358230544503844,5.6832,0.9581,0.344548721504349,0.948644982902386,1,0.892693302421714,0.908618436520912,0.909083204383034,1.03278527177984,0.666676691071536,0.40489209183813,0.284405124475769,5.1622,0.9963,0.330315075850506,0.963644034270126,1,0.949834087481146,0.94899245852187,0.961420814479638,0.953885369532428,0.875861236802413,0.439137254901961,0.342627450980392,5.4356,0.9773,0.248546817394312,0.903284245897773,1,0.884020970463592,0.882900313011219,0.857619826620123,0.871482488117167,0.699954916079502,0.311097085002512,0.263483312508856,0.0464996803263515,5.49785,"yes",437,"Protein kinase","domain","152-409;",152,409,NA,NA,"no"
"189","Q13523","Q13523","PRP4B_HUMAN","PRPF4B","Serine/threonine-protein kinase PRP4 homolog",15,738,1595522,1553662,1475181,1550644,1497067,1509160,1482767,1433199,1415993,1416440,1144255,1303688,1304245,1477831,1284651,1411227,1383476,1412939,1297774,1374786,1085281,1007885,1004446,938356,825877,806640,722664,767577,1291215,1491333,1303415,1383393,1,1,1,1,4,1,1,0,1,"3",0,0,0,0,"0","stabilized",4.8012,0.9216,0.340648441807955,0.968022992623385,1,0.938292922316333,0.887479458133451,0.867099294149501,0.809274331535385,0.817440937824737,0.680204346915931,0.517621819066111,4.8429,0.9714,0.516469958151252,0.951140387531157,1,0.971356704353971,0.911678344453298,0.909424958581725,0.95988252271086,0.951192086824547,0.648715743836175,0.519186283760561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9579,0.9329,0.497526288346662,0.911518713283346,1,0.924260500798378,0.84073971846536,0.88659034568863,0.892140942730891,0.910090904166269,0.60513954202254,0.495005301023317,0.0166738177358639,4.86733333333333,"yes",752,"Protein kinase","domain","687-1006;",687,1006,NA,NA,"yes"
"190","P45983","P45984;P53779;P45983","MK08_HUMAN","MAPK8","Mitogen-activated protein kinase 8",13,56,174729,177950,157443,178987,156073,182446,179487,190770,173250,163359,122556,150637,84719.6,66698.1,74648.4,73137.2,151540,141272,156351,179218,24947.2,26272.9,20163.4,26739.9,19246.7,9436.39,13673.6,18040.8,169357,170944,148691,153309,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",5.7242,0.9852,0.126443941602875,0.94427154706638,1,0.893228943106182,0.991535463489175,0.867285911325538,0.969255246696313,0.484862844748153,0.142776528223706,0.110151720664572,5.7805,0.9669,0.100378649596244,0.939619568827512,1,1.0252655240236,0.91800505760045,0.793885923012082,0.960629390278168,0.374813711716774,0.147642034279292,0.0530283225625176,5.7816,0.9436,0.0939908921891129,0.979294343139739,1,1.14001257597988,0.778415045445018,0.993064156551895,0.944411628335334,0.474129685028868,0.128067935697363,0.0868479386190558,5.9488,0.9747,0.100470976205626,0.980074647821396,1,1.06583159670814,0.841608608446423,1.00129059652377,0.856537066937822,0.408617385620185,0.149395766172962,0.100793912407046,0.0167198287855798,5.808775,"yes",68,"Protein kinase","domain","26-321;",26,321,NA,NA,"yes"
"191","P19525","P19525","E2AK2_HUMAN","EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase",13,522,1520000,1280000,1240000,1190000,1390000,1220000,1300000,1350000,1470000,1310000,1420000,1320000,1010000,1160000,958687,1080000,1290000,1270000,981235,851666,430769,509422,414204,513048,415929,355355,306646,413425,1360000,1420000,1170000,1340000,1,1,1,1,4,1,1,1,0,"3",0,0,0,0,"0","stabilized",5.5738,0.9779,0.257799226995765,0.929357085013791,1,0.914473684210526,0.967105263157895,0.848684210526316,0.894736842105263,0.664473684210526,0.283400657894737,0.2736375,5.1623,0.979,0.266906376648633,1.01536303473887,1,0.953125,1.0234375,0.9921875,1.109375,0.90625,0.3979859375,0.27762109375,5.3128,0.9127,0.184542954704671,0.997998098612755,1,1.04838709677419,1.14516129032258,0.791318548387097,0.943548387096774,0.773134677419355,0.334035483870968,0.247295161290323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0389200560132784,5.34963333333333,"yes",534,"Protein kinase","domain","267-538;",267,538,NA,NA,"yes"
"192","O43318","O43318","M3K7_HUMAN","MAP3K7","Mitogen-activated protein kinase kinase kinase 7",12,227,294420,231765,212094,259515,262404,271620,287629,272434,282230,303213,239921,269123,217513,188625,147144,186372,341428,298452,290204,199599,77348.7,87597.5,66843,92387.2,45965.1,64898,55950.6,45816,338212,266630,237211,246375,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",5.5267,0.9405,0.191078020164898,1.03186803109708,1,0.891257387405747,0.95859656273351,1.15966306636777,1.14873989538754,0.738784729298281,0.262715508457306,0.156120847768494,5.5537,0.9457,0.275108499579331,1.19263579059911,1,1.17196297974241,1.30827778137337,1.28773542165556,1.1504325502125,0.813863180376675,0.377958276702695,0.280016395918279,5.7664,0.9256,0.260793834031106,1.21021435750093,1,1.3561392590078,1.13120125981876,1.36828010221883,1.11842390638113,0.693767857648024,0.315157430196045,0.263800956179807,4.7302,0.9373,-0.203405951903404,0.997881219960615,1,1.04978132285224,1.03702290811706,0.769123172070979,0.949367088607595,0.718155019941044,0.355999460532146,0.176544708398358,0.0844407207329237,5.39425,"yes",238,"Protein kinase","domain","36-291;",36,291,NA,NA,"yes"
"193","P06493","P06493","CDK1_HUMAN","CDK1","Cyclin-dependent kinase 1",15,201,4850000,5550000,5270000,5810000,4690000,5150000,5290000,5310000,4950000,5230000,5330000,5160000,3910000,3520000,4030000,3940000,4530000,5030000,5400000,5270000,3360000,3070000,3150000,3490000,3140000,2930000,3330000,3090000,4510000,4150000,4990000,5030000,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",5.5977,0.9774,0.600764936879091,0.991914879798537,1,0.967010309278351,1.02061855670103,0.934020618556701,0.929896907216495,0.806185567010309,0.692783505154639,0.647422680412371,6.5634,0.9888,0.512791855864116,0.973014049214112,1,0.927927927927928,0.942342342342342,0.906306306306306,0.747747747747748,0.634234234234234,0.553153153153153,0.527927927927928,5.9123,0.9912,0.606650538139854,1.00896816379595,1,1.00379506641366,1.01138519924099,1.0246679316888,0.946869070208729,0.764705882352941,0.597722960151803,0.631878557874763,5.8432,0.9615,0.504873809985263,0.942477942846847,1,0.91394148020654,0.888123924268503,0.907056798623064,0.865748709122203,0.678141135972461,0.600688468158348,0.53184165232358,0.0689447698166185,5.97915,"yes",215,"Protein kinase","domain","4-287;",4,287,NA,NA,"yes"
"194","P19525","P19525","E2AK2_HUMAN","EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase",8,541,97245.5,73242,67026.7,76765.2,75660.7,69003.1,56933.5,74732.1,91020.9,59326.3,73966.5,64395.8,56158.3,59241.1,60954.3,58177.4,73991.8,83636.4,63232,77190.1,31757.5,40172.7,35488.3,29535.9,32240.2,27663.3,6965.79,16890.4,72601.3,55056,54346.5,68313.8,1,1,1,1,4,1,0,1,1,"3",0,0,0,0,"0","stabilized",5.6149,0.9212,0.136573294949927,0.930910341378677,1,0.778038058316323,0.935990868472063,0.760876338750893,0.746577476592747,0.577489960975058,0.326570381148742,0.331534106976672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3654,0.925,-0.295455565117826,0.95007637147418,1,0.849415233034,1.10353784387416,0.943385247968347,0.8108186737524,0.90940326765304,0.529465123599998,0.103925599798289,5.1054,0.9684,0.128481861852088,0.951647095599205,1,0.973515342889747,0.838867090817193,1.00553506015747,0.889905842751664,0.757861635220126,0.384756373981961,0.220026782969366,0.124942848235263,5.02856666666667,"yes",548,"Protein kinase","domain","267-538;",267,538,NA,NA,"near"
"195","Q9UHD2","Q9UHD2","TBK1_HUMAN","TBK1","Serine/threonine-protein kinase TBK1",9,30,135351,122215,124816,114650,134863,118812,116967,100482,131432,111113,107378,94945.2,39013.9,26188.2,30368.4,22982.2,141669,119824,97491.1,106245,25176.3,16855.4,0,10089.2,17168.4,13204.8,0,15376.9,43242.1,49799.6,34049.6,34761.3,1,1,0,1,3,1,1,0,1,"3",0,0,0,0,"0","stabilized",6.8384,0.9867,0.200361824182553,1.0035248458638,1,0.996394559330925,0.971045651676013,1.04667863554758,0.319481200729954,0.288242421555807,0.186007491632866,0.126843540128998,6.7896,0.991,0.153381840267447,0.965510334792083,1,0.972155627377981,0.909160086732398,0.980436116679622,0.407475350816185,0.214279752894489,0.137915967761731,0.108045657243383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8264,0.9794,0.140731984409761,0.907819873917719,1,0.876423898822503,0.828130832969908,0.926689925861317,0.303194941125164,0.200455298735281,0.088,0.134120366332316,0.00372955346972507,6.81813333333333,"yes",38,"Protein kinase","domain","9-310;",9,310,NA,NA,"yes"
"196","Q9P289","Q9P289;Q9Y6E0","STK26_HUMAN","STK26","Serine/threonine-protein kinase 26",11,280,1982408,2037461,1863496,1957427,1884931,1987175,1822840,1923360,1965688,1924919,1983648,1913433,1000806,1099578,1071083,1093634,1635969,1803741,1925903,1899264,776896,965589,974463,964386,920586,951454,961264,944168,1524852,1612169,1746507,1685947,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.5741,0.9686,0.403840458336523,0.979748775458334,1,0.950828991811978,0.991565812890182,0.825243340422355,0.769191811171061,0.504843604343808,0.391895109382125,0.464377665949693,6.4645,0.991,0.447351926988344,0.974474474732052,1,0.975319282185033,0.944763605291095,0.885288601843176,0.791263734618724,0.539680514130086,0.473917782966153,0.466980226860784,6.2583,0.9894,0.518851447932463,1.01938398974902,1,0.978182942168913,1.06447666107145,1.03348920523575,0.937220686279981,0.574770753465529,0.522921970318155,0.515839046609169,6.3097,0.9992,0.48398911774088,0.985458302211743,1,0.982596030401134,0.977524576906316,0.970285992785427,0.86130772692928,0.558709979989037,0.492680442233606,0.482351576840413,0.0225817446531512,6.40165,"yes",290,"Protein kinase","domain","24-274;",24,274,NA,NA,"near"
"197","Q9UBS0","Q9UBS0","KS6B2_HUMAN","RPS6KB2","Ribosomal protein S6 kinase beta-2",9,86,240002,258861,263968,270522,242841,269103,243289,269398,261228,269358,249259,264761,248948,222820,233804,240575,223028,240636,241219,255046,184671,180733,178249,171331,131805,121631,128544,117567,254412,245357,240669,272197,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",4.7156,0.9351,0.544709159691368,1.02122393119537,1,1.0118290680911,1.08844092965892,0.929275589370089,1.06004116632361,1.03727468937759,0.769456087865934,0.549182923475638,4.1113,0.9731,0.0206150781674552,1.01007108034208,1,1.03956563561139,1.04055072027072,0.929595419935796,0.947833006903319,0.860770838403622,0.698185512688277,0.469869930194197,4.6373,0.9759,0.364734069553419,0.941592668838095,1,0.92166095890411,0.944277336646866,0.913819099284762,0.911735513395563,0.885728573160383,0.675267456661414,0.486968117347557,4.7585,0.9896,0.3155109333412,0.986309949285522,1,0.995845069901893,0.97870413496869,0.942792083453471,1.00619173301987,0.889299206718862,0.633334811956144,0.434593119968062,0.0659549909605477,4.555675,"yes",94,"Protein kinase","domain","67-328;",67,328,NA,NA,"yes"
"198","Q15418","Q15418","KS6A1_HUMAN","RPS6KA1","Ribosomal protein S6 kinase alpha-1",14,81,423393.7,413071.4,441294.9,445081.7,450582.1,433851.1,440393.5,466781.5,431065.9,437394,420732.8,461141.7,96771.82,139596.75,122042.76,144190.32,351427.9,453056.7,433149,295893.6,65212,126381,89526.6,105664,90835.5,89598,111498,119443.8,230710,251227.7,253719.7,258264.6,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.9224,0.9926,0.16779759726869,1.03519702222584,1,1.06421540991281,1.01812072310004,0.830026285228146,0.544906549152715,0.228562257775683,0.154022131174838,0.214541453970619,6.7291,0.9877,0.286965600998483,1.0515179123809,1,1.05030534672698,1.0588823142924,1.09679997211136,0.608194370271096,0.337948233646774,0.305954370116159,0.216906810783802,6.7502,0.9961,0.237660842755824,0.988901912052328,1,0.997957374988925,0.953405081273316,0.981540915156735,0.574943648793585,0.276556017302715,0.202872500905857,0.252660975687686,7.2235,0.9675,0.239560816668675,1.05233298104169,1,1.04875464437203,1.03608326291555,0.664807382554708,0.580263353896599,0.323963712729596,0.237403604776382,0.268363763327048,0.0330862983403273,6.9063,"yes",94,"Protein kinase","domain","62-321;418-675;",62,321,418,675,"yes"
"199","P00519","P00519;P42684","ABL1_HUMAN","ABL1","Tyrosine-protein kinase ABL1",9,263,409511,385469,414864,409337,400462,394167,401777,401526,392982,397801,432946,370106,106356,112343,89900.6,90575.5,373994,416370,417029,375140,36940,30936.5,39583,45201.5,19542.3,29141.4,31577.5,21238.6,368659,376357,366028,317964,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.0364,0.9964,0.0652448359887957,0.96404527372483,1,0.977902913474852,0.959637225862065,0.913269729018268,0.900241995941501,0.259714635260103,0.0902051471144853,0.0477210624378832,6.0056,0.9976,0.0754064851635961,1.03349878051977,1,1.02256471986074,1.03199219651905,1.08016468250365,0.976361263811098,0.291444967040151,0.0802567781066701,0.0755998536847321,6.1856,0.9978,0.08342644754794,1.00523119077847,1,0.968454722511474,1.04358536773497,1.00521857765436,0.88228431485981,0.216698966408269,0.0954119904354198,0.0761153052566624,6.2366,0.9941,0.0726530556527115,0.955082532972772,1,0.980917923373651,0.904159653293008,0.916457588734954,0.776778058177003,0.221273669372668,0.110426128104716,0.0518853658477001,0.0183806746233194,6.11605,"yes",271,"Protein kinase","domain","242-493;",242,493,NA,NA,"yes"
"200","Q13177","Q13177","PAK2_HUMAN","PAK2","Serine/threonine-protein kinase PAK 2",7,248,107821,102373,107617,119958,112666,125620,114014,101029,109841,133155,119592,107630,30720.2,27919.5,23539.2,30668.5,112439,112731,88595.3,102695,25070.4,18632.3,25007.1,24727.2,25803.8,22503.3,23320.1,29621.5,69381.5,66537.4,60246.9,67870,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.6882,0.9973,0.247054523249011,1.02941227787127,1,1.044935587687,1.01873475482513,1.04283024642695,0.643487817772048,0.284918522365773,0.232518711568247,0.239320726018123,6.7543,0.9669,0.206613006634938,1.17441758252955,1,1.2270813593428,1.30068475086204,1.10117902181239,0.649950670586971,0.272723276645209,0.182004044035048,0.219816748556748,6.9834,0.9824,0.20263519382498,1.05632867208447,1,1.05944228142394,1.11127424105857,0.823246327253129,0.559826979008893,0.218731241346627,0.232371279630542,0.216695317654274,6.7125,0.982,0.220814400005463,0.912536185421866,1,0.84220310441988,0.89723069741076,0.856091298621184,0.565781356808216,0.255660314443388,0.206132146251188,0.246932259624202,0.0199445150966628,6.7846,"yes",254,"Protein kinase","domain","249-499;",249,499,NA,NA,"yes"
"201","Q9Y4K4","Q9Y4K4","M4K5_HUMAN","MAP4K5","Mitogen-activated protein kinase kinase kinase kinase 5",9,156,402648,422317,426037,408587,423791,438148,402226,431598,417378,443635,369499,405396,145683,156632,164707,169575,387821,426605,394867,404439,137176,125190,146552,123561,151911,157787,146243,131243,242579,302805,295365,286069,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.8927,0.9967,0.353351850388921,1.02925095473009,1,1.05250988456419,1.03658282172021,0.963176273072262,0.602459219963839,0.361812302557072,0.340684667501142,0.377279907015557,6.6383,0.9943,0.336482869470152,1.02972586758987,1,1.03748605905043,1.05047866886723,1.01015351027782,0.717008787238023,0.370887271883443,0.296436089477809,0.37362218428337,6.5755,0.9848,0.342198003072291,0.940366863994583,1,0.944110488056202,0.867293216316893,0.92683734041879,0.693284855540716,0.386602572077073,0.343988902372329,0.343263613254248,6.5848,0.9953,0.310552125982275,1.02385942216165,1,1.05631848296691,0.992190157787693,0.989847939361752,0.700142197377792,0.415027888797245,0.302410502536791,0.321211883882747,0.0223552650872583,6.672825,"yes",164,"Protein kinase","domain","20-277;",20,277,NA,NA,"yes"
"202","Q9P289","O00506;Q9P289;Q9Y6E0","STK26_HUMAN","STK26","Serine/threonine-protein kinase 26",17,160,2490000,2640000,2730000,2700000,2350000,2690000,2660000,2670000,2460000,2640000,3070000,2710000,1360000,1420000,1420000,1480000,2510000,2630000,2800000,2730000,1050000,1110000,1250000,1210000,1120000,1060000,1170000,1180000,2180000,2150000,2320000,2490000,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.1911,0.9926,0.433301642403682,0.985653912221905,1,0.943775100401606,0.987951807228916,1.00803212851406,0.875502008032129,0.546184738955823,0.421686746987952,0.449799196787149,6.3132,0.9988,0.399166520074832,1.01193634885092,1,1.01893939393939,1,0.996212121212121,0.814393939393939,0.537878787878788,0.420454545454545,0.401515151515151,6.3989,0.976,0.440907461335271,1.03492673981587,1,0.974358974358974,1.12454212454212,1.02564102564103,0.84981684981685,0.52014652014652,0.457875457875458,0.428571428571429,6.1394,0.9993,0.439796384011281,1.00158030781657,1,0.988888888888889,1.0037037037037,1.01111111111111,0.922222222222222,0.548148148148148,0.448148148148148,0.437037037037037,0.0187667912764989,6.26065,"yes",176,"Protein kinase","domain","24-274;",24,274,NA,NA,"yes"
"203","Q13177","Q13177","PAK2_HUMAN","PAK2","Serine/threonine-protein kinase PAK 2",16,502,3430698,3358237,3533400,3266493,3062043,3182543,3237859,3055170,3151116,3120108,2986331,3330362,855502,726104.4,760709,660200,3273943,3111614,2878447,3498011,638476.5,550574.4,467425.2,547668,588435.3,583177.9,578411.5,633226.8,1844251,1902630,1783099,1828264,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.7381,0.99,0.195660587345403,0.946088647483318,1,0.892542275653526,0.918505796779547,0.954308132047764,0.537573111943983,0.249366746941876,0.186106879707861,0.171520576862201,6.6938,0.9973,0.168839947741638,0.961853037390736,1,0.947682668018964,0.929091067723928,0.926561764401976,0.56655620195954,0.216215949023252,0.163947452189944,0.17365596889082,6.8045,0.9893,0.13007591305508,0.937633142021855,1,0.916357898907568,0.845172072225052,0.814639440765269,0.504641138846437,0.215290937906832,0.132287654949907,0.163698279277749,6.7154,0.9914,0.187873165130604,1.00643671130376,1,0.935305846361832,1.0195527741832,1.07087662517569,0.559702408668869,0.202112785791979,0.167662382867497,0.193855244753318,0.00711075302034994,6.73795,"yes",517,"Protein kinase","domain","249-499;",249,499,NA,NA,"near"
"204","Q9BZL6","Q00532;Q8IVW4;O94806;Q15139;Q9BZL6;O76039;Q9NRP7;Q92772","KPCD2_HUMAN","PRKD2","Serine/threonine-protein kinase D2",8,693,247014,206060,202307,220731,239111,246017,143858,193909,235155,241800,289703,160563,44346.3,100564,55045.6,71497.9,204368,200117,191047,194469,85441,74350.4,93270.4,82009.4,87219.2,82543.5,66641.4,71443.5,115063,85235.9,70153.2,83842.9,1,1,1,1,4,1,1,0,1,"3",0,0,0,0,"0","stabilized",7.1848,0.9695,0.294774447421477,0.975746826245769,1,0.968005862015918,0.951990575432971,0.827353915162703,0.46581570275369,0.179529500352207,0.345895374351251,0.353094156606508,7.5629,0.9669,0.415723021300636,1.1224551042831,1,1.19390954091041,1.17344462777832,0.971158885761429,0.413646025429487,0.488032611860623,0.360819178879938,0.400579928176259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9936,0.9334,0.339851396036437,0.872051972160169,1,0.878485577467596,0.727414817130353,0.881022602171874,0.379841979604134,0.323914176078575,0.371535488898252,0.32366772225016,0.0399771110690611,7.2471,"yes",700,"Protein kinase","domain","551-807;",551,807,NA,NA,"yes"
