Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Mass
P0A8N7,reviewed,EPMA_ECOLI,Elongation factor P--(R)-beta-lysine ligase (EF-P--(R)-beta-lysine ligase) (EC 6.3.1.-) (EF-P post-translational modification enzyme A) (EF-P-lysine lysyltransferase) (GX),epmA genX poxA yjeA b4155 JW4116,Escherichia coli (strain K12),325,36976
P0A9C5,reviewed,GLN1B_ECOLI,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I beta) (GSI beta),glnA b3870 JW3841,Escherichia coli (strain K12),469,51904
P0A9H5,reviewed,BTUR_ECOLI,"Corrinoid adenosyltransferase (EC 2.5.1.17) (Cob(II)alamin adenosyltransferase) (Cob(II)yrinic acid a,c-diamide adenosyltransferase) (Cobinamide/cobalamin adenosyltransferase)",btuR cobA b1270 JW1262,Escherichia coli (strain K12),196,21999
P0A9J6,reviewed,RBSK_ECOLI,Ribokinase (RK) (EC 2.7.1.15),rbsK b3752 JW3731,Escherichia coli (strain K12),309,32291
P0A9K1,reviewed,PHOH_ECOLI,Protein PhoH (Phosphate starvation-inducible protein PsiH),phoH psiH b1020 JW1005,Escherichia coli (strain K12),354,39265
P0A9K3,reviewed,PHOL_ECOLI,PhoH-like protein,ybeZ b0660 JW0657,Escherichia coli (strain K12),346,39039
P0A9M0,reviewed,LON_ECOLI,Lon protease (EC 3.4.21.53) (ATP-dependent protease La),lon capR deg lopA muc b0439 JW0429,Escherichia coli (strain K12),784,87438
P0A9P6,reviewed,DEAD_ECOLI,ATP-dependent RNA helicase DeaD (EC 3.6.4.13) (Cold-shock DEAD box protein A) (Translation factor W2),deaD csdA mssB rhlD b3162 JW5531,Escherichia coli (strain K12),629,70546
P0A9Q5,reviewed,ACCD_ECOLI,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15),accD dedB usg b2316 JW2313,Escherichia coli (strain K12),304,33322
P0A9R7,reviewed,FTSE_ECOLI,Cell division ATP-binding protein FtsE,ftsE b3463 JW3428,Escherichia coli (strain K12),222,24439
P0A9S7,reviewed,LIVG_ECOLI,High-affinity branched-chain amino acid transport ATP-binding protein LivG (LIV-I protein G),livG b3455 JW3420,Escherichia coli (strain K12),255,28427
P0A9T8,reviewed,YBBA_ECOLI,Uncharacterized ABC transporter ATP-binding protein YbbA,ybbA b0495 JW0484,Escherichia coli (strain K12),228,24533
P0A9U1,reviewed,YBHF_ECOLI,Probable multidrug ABC transporter ATP-binding protein YbhF,ybhF b0794 JW5104,Escherichia coli (strain K12),578,63132
P0A9U3,reviewed,YBIT_ECOLI,Probable ATP-binding protein YbiT,ybiT b0820 JW0804,Escherichia coli (strain K12),530,59858
P0A9V1,reviewed,LPTB_ECOLI,Lipopolysaccharide export system ATP-binding protein LptB (EC 7.5.2.-),lptB yhbG b3201 JW3168,Escherichia coli (strain K12),241,26801
P0A9W3,reviewed,ETTA_ECOLI,Energy-dependent translational throttle protein EttA (EC 3.6.1.-) (Translational regulatory factor EttA),ettA yjjK b4391 JW4354,Escherichia coli (strain K12),555,62443
P0A9X1,reviewed,ZNUC_ECOLI,Zinc import ATP-binding protein ZnuC (EC 7.2.2.20),znuC yebM b1858 JW1847,Escherichia coli (strain K12),251,27867
P0A9X4,reviewed,MREB_ECOLI,Cell shape-determining protein MreB (Actin-like MreB protein) (Rod shape-determining protein MreB),mreB envB rodY b3251 JW3220,Escherichia coli (strain K12),347,36952
P0A9Z1,reviewed,GLNB_ECOLI,Nitrogen regulatory protein P-II 1,glnB b2553 JW2537,Escherichia coli (strain K12),112,12425
P0AA93,reviewed,YPDA_ECOLI,Sensor histidine kinase YpdA (EC 2.7.13.3),ypdA b2380 JW5388,Escherichia coli (strain K12),565,62657
P0AAD4,reviewed,TYRP_ECOLI,Tyrosine-specific transport system (Tyrosine permease) (Tyrosine:H(+) symporter),tyrP b1907 JW1895,Escherichia coli (strain K12),403,42819
P0AAF3,reviewed,ARAG_ECOLI,Arabinose import ATP-binding protein AraG (EC 7.5.2.12),araG b1900 JW1888,Escherichia coli (strain K12),504,55018
P0AAF6,reviewed,ARTP_ECOLI,Arginine transport ATP-binding protein ArtP (EC 7.4.2.1),artP b0864 JW0848,Escherichia coli (strain K12),242,27022
P0AAG0,reviewed,DPPD_ECOLI,Dipeptide transport ATP-binding protein DppD (EC 7.4.2.9),dppD b3541 JW3510,Escherichia coli (strain K12),327,35844
P0AAG3,reviewed,GLTL_ECOLI,Glutamate/aspartate import ATP-binding protein GltL (EC 7.4.2.1),gltL b0652 JW0647,Escherichia coli (strain K12),241,26661
P0AAG5,reviewed,MDLB_ECOLI,Multidrug resistance-like ATP-binding protein MdlB (EC 7.6.2.2),mdlB mdl b0449 JW5061,Escherichia coli (strain K12),593,65222
P0AAG8,reviewed,MGLA_ECOLI,Galactose/methyl galactoside import ATP-binding protein MglA (EC 7.5.2.11),mglA b2149 JW2136,Escherichia coli (strain K12),506,56415
P0AAH0,reviewed,PSTB_ECOLI,Phosphate import ATP-binding protein PstB (EC 7.3.2.1) (ABC phosphate transporter) (Phosphate-transporting ATPase),pstB phoT b3725 JW3703,Escherichia coli (strain K12),257,29027
P0AAH4,reviewed,SAPD_ECOLI,Putrescine export system ATP-binding protein SapD,sapD trkE b1291 JW1284,Escherichia coli (strain K12),330,37661
P0AAH8,reviewed,SAPF_ECOLI,Putrescine export system ATP-binding protein SapF,sapF b1290 JW1283,Escherichia coli (strain K12),268,30571
P0AAI1,reviewed,SSUB_ECOLI,Aliphatic sulfonates import ATP-binding protein SsuB (EC 7.6.2.14),ssuB ycbE b0933 JW0916,Escherichia coli (strain K12),255,27738
P0AAI3,reviewed,FTSH_ECOLI,ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-) (Cell division protease FtsH),ftsH hflB mrsC std tolZ b3178 JW3145,Escherichia coli (strain K12),644,70708
P0AAV4,reviewed,PXPB_ECOLI,5-oxoprolinase subunit B (5-OPase subunit B) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit B),pxpB ybgJ b0711 JW0701,Escherichia coli (strain K12),218,23947
P0AAZ4,reviewed,RARA_ECOLI,Replication-associated recombination protein A,rarA mgsA ycaJ b0892 JW0875,Escherichia coli (strain K12),447,49626
P0ABA6,reviewed,ATPG_ECOLI,ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit),atpG papC uncG b3733 JW3711,Escherichia coli (strain K12),287,31577
P0ABB0,reviewed,ATPA_ECOLI,ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha),atpA papA uncA b3734 JW3712,Escherichia coli (strain K12),513,55222
P0ABB4,reviewed,ATPB_ECOLI,ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta),atpD papB uncD b3732 JW3710,Escherichia coli (strain K12),460,50325
P0ABB8,reviewed,ATMA_ECOLI,"Magnesium-transporting ATPase, P-type 1 (EC 7.2.2.14) (Mg(2+) transport ATPase, P-type 1)",mgtA corB mgt b4242 JW4201,Escherichia coli (strain K12),898,99466
P0ABD5,reviewed,ACCA_ECOLI,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15),accA b0185 JW0180,Escherichia coli (strain K12),319,35242
P0ABF1,reviewed,PCNB_ECOLI,Poly(A) polymerase I (PAP I) (EC 2.7.7.19) (Plasmid copy number protein),pcnB b0143 JW5808,Escherichia coli (strain K12),465,53871
P0ABH0,reviewed,FTSA_ECOLI,Cell division protein FtsA,ftsA divA b0094 JW0092,Escherichia coli (strain K12),420,45330
P0ABH9,reviewed,CLPA_ECOLI,ATP-dependent Clp protease ATP-binding subunit ClpA,clpA lopD b0882 JW0866,Escherichia coli (strain K12),758,84207
P0ABL8,reviewed,CCMB_ECOLI,Heme exporter protein B (Cytochrome c-type biogenesis protein CcmB),ccmB yejV b2200 JW2188,Escherichia coli (strain K12),220,23619
P0ABM1,reviewed,CCMC_ECOLI,Heme exporter protein C (Cytochrome c-type biogenesis protein CcmC),ccmC yejT yejU b2199 JW2187,Escherichia coli (strain K12),245,27885
P0ABM5,reviewed,CCMD_ECOLI,Heme exporter protein D (Cytochrome c-type biogenesis protein CcmD),ccmD yojM b2198 JW2186,Escherichia coli (strain K12),69,7745
P0ABN1,reviewed,KDGL_ECOLI,Diacylglycerol kinase (DAGK) (EC 2.7.1.107) (Diglyceride kinase) (DGK),dgkA dgk b4042 JW4002,Escherichia coli (strain K12),122,13245
P0ABU2,reviewed,YCHF_ECOLI,Ribosome-binding ATPase YchF,ychF engD gtp1 b1203 JW1194,Escherichia coli (strain K12),363,39667
P0AC28,reviewed,5FCL_ECOLI,"5-formyltetrahydrofolate cyclo-ligase (5-FCL) (EC 6.3.3.2) (5,10-methenyltetrahydrofolate synthetase) (MTHFS)",ygfA b2912 JW2879,Escherichia coli (strain K12),182,21105
P0AC55,reviewed,GLNK_ECOLI,Nitrogen regulatory protein GlnK (Nitrogen regulatory protein P-II 2) (PII-like protein),glnK ybaI b0450 JW0440,Escherichia coli (strain K12),112,12259
P0ACB0,reviewed,DNAB_ECOLI,Replicative DNA helicase DnaB (EC 5.6.2.3) (DNA 5'-3' helicase DnaB),dnaB groP grpA b4052 JW4012,Escherichia coli (strain K12),471,52390
P0AD12,reviewed,YEEZ_ECOLI,Protein YeeZ,yeeZ b2016 JW1998,Escherichia coli (strain K12),274,29680
P0AD14,reviewed,BTSS_ECOLI,Sensor histidine kinase BtsS (EC 2.7.13.3),btsS yehU b2126 JW5353,Escherichia coli (strain K12),561,62092
P0AD61,reviewed,KPYK1_ECOLI,Pyruvate kinase I (EC 2.7.1.40) (PK-1),pykF b1676 JW1666,Escherichia coli (strain K12),470,50729
P0AD96,reviewed,LIVJ_ECOLI,Leu/Ile/Val-binding protein (LIV-BP),livJ b3460 JW3425,Escherichia coli (strain K12),367,39076
P0ADC3,reviewed,LOLC_ECOLI,Lipoprotein-releasing system transmembrane protein LolC,lolC ycfU b1116 JW5161,Escherichia coli (strain K12),399,43264
P0ADC6,reviewed,LPTG_ECOLI,Lipopolysaccharide export system permease protein LptG,lptG yjgQ b4262 JW5760,Escherichia coli (strain K12),360,39619
P0ADG7,reviewed,IMDH_ECOLI,Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205),guaB guaR b2508 JW5401,Escherichia coli (strain K12),488,52022
P0ADT5,reviewed,YGIC_ECOLI,Putative acid--amine ligase YgiC (EC 6.3.1.-),ygiC b3038 JW3006,Escherichia coli (strain K12),386,45026
P0ADV7,reviewed,MLAC_ECOLI,Intermembrane phospholipid transport system binding protein MlaC,mlaC yrbC b3192 JW3159,Escherichia coli (strain K12),211,23963
P0AE26,reviewed,ARAH_ECOLI,L-arabinose transport system permease protein AraH,araH b4460 JW1887,Escherichia coli (strain K12),328,34211
P0AE30,reviewed,ARTM_ECOLI,Arginine ABC transporter permease protein ArtM,artM b0861 JW0845,Escherichia coli (strain K12),222,24914
P0AE34,reviewed,ARTQ_ECOLI,Arginine ABC transporter permease protein ArtQ,artQ b0862 JW0846,Escherichia coli (strain K12),238,26217
P0AE76,reviewed,COBU_ECOLI,Bifunctional adenosylcobalamin biosynthesis protein CobU (Adenosylcobinamide kinase) (EC 2.7.1.156) (Adenosylcobinamide-phosphate guanylyltransferase) (EC 2.7.7.62),cobU b1993 JW1971,Escherichia coli (strain K12),181,20164
P0AE82,reviewed,CPXA_ECOLI,Sensor histidine kinase CpxA (EC 2.7.13.3),cpxA ecfB eup ssd b3911 JW3882,Escherichia coli (strain K12),457,51624
P0AEB0,reviewed,CYSW_ECOLI,Sulfate transport system permease protein CysW,cysW b2423 JW2416,Escherichia coli (strain K12),291,32538
P0AEC3,reviewed,ARCB_ECOLI,Aerobic respiration control sensor protein ArcB (EC 2.7.13.3),arcB b3210 JW5536,Escherichia coli (strain K12),778,87983
P0AEC5,reviewed,BARA_ECOLI,Signal transduction histidine-protein kinase BarA (EC 2.7.13.3),barA b2786 JW2757,Escherichia coli (strain K12),918,102453
P0AEC8,reviewed,DCUS_ECOLI,Sensor histidine kinase DcuS (EC 2.7.13.3) (Fumarate sensor),dcuS yjdH b4125 JW4086,Escherichia coli (strain K12),543,60551
P0AEE5,reviewed,MGLB_ECOLI,D-galactose/methyl-galactoside binding periplasmic protein MglB (D-galactose-binding periplasmic protein) (GBP) (D-galactose/D-glucose-binding protein) (GGBP),mglB b2150 JW2137,Escherichia coli (strain K12),332,35713
P0AEF0,reviewed,DNAC_ECOLI,Replicative helicase loader DnaC (EC 3.6.4.-) (DNA replication protein DnaC),dnaC dnaD b4361 JW4325,Escherichia coli (strain K12),245,27935
P0AEF8,reviewed,DPPB_ECOLI,Dipeptide transport system permease protein DppB,dppB b3543 JW3512,Escherichia coli (strain K12),339,37497
P0AEG1,reviewed,DPPC_ECOLI,Dipeptide transport system permease protein DppC,dppC b3542 JW3511,Escherichia coli (strain K12),300,32308
P0AEJ4,reviewed,ENVZ_ECOLI,Sensor histidine kinase EnvZ (EC 2.7.13.3) (Osmolarity sensor protein EnvZ),envZ ompB perA tpo b3404 JW3367,Escherichia coli (strain K12),450,50334
P0AEL6,reviewed,FEPB_ECOLI,Ferric enterobactin-binding periplasmic protein FepB,fepB b0592 JW0584,Escherichia coli (strain K12),318,34283
P0AEM9,reviewed,TCYJ_ECOLI,L-cystine-binding protein TcyJ (CBP) (Protein FliY) (Sulfate starvation-induced protein 7) (SSI7),tcyJ fliY yzzR b1920 JW1905,Escherichia coli (strain K12),266,29039
P0AEQ3,reviewed,GLNH_ECOLI,Glutamine-binding periplasmic protein (GlnBP),glnH b0811 JW0796,Escherichia coli (strain K12),248,27190
P0AEQ6,reviewed,GLNP_ECOLI,Glutamine transport system permease protein GlnP,glnP b0810 JW0795,Escherichia coli (strain K12),219,24364
P0AER3,reviewed,GLTJ_ECOLI,Glutamate/aspartate import permease protein GltJ,gltJ b0654 JW0649,Escherichia coli (strain K12),246,27503
P0AER5,reviewed,GLTK_ECOLI,Glutamate/aspartate import permease protein GltK,gltK b0653 JW0648,Escherichia coli (strain K12),224,24915
P0AES0,reviewed,GSP_ECOLI,Bifunctional glutathionylspermidine synthetase/amidase (GspSA) [Includes: Glutathionylspermidine amidase (Gsp amidase) (EC 3.5.1.78) (Glutathionylspermidine amidohydrolase [spermidine-forming]); Glutathionylspermidine synthetase (Gsp synthetase) (EC 6.3.1.8) (Glutathione:spermidine ligase [ADP-forming]) (Gsp synthase)],gss gsp b2988 JW2956,Escherichia coli (strain K12),619,70532
P0AES4,reviewed,GYRA_ECOLI,DNA gyrase subunit A (EC 5.6.2.2),gyrA hisW nalA parD b2231 JW2225,Escherichia coli (strain K12),875,96964
P0AES6,reviewed,GYRB_ECOLI,DNA gyrase subunit B (EC 5.6.2.2) (Type IIA topoisomerase subunit GyrB),gyrB acrB cou himB hisU nalC parA pcbA b3699 JW5625,Escherichia coli (strain K12),804,89950
P0AEU0,reviewed,HISJ_ECOLI,Histidine-binding periplasmic protein (HBP),hisJ b2309 JW2306,Escherichia coli (strain K12),260,28483
P0AEU3,reviewed,HISM_ECOLI,Histidine/lysine/arginine/ornithine transport system permease protein HisM,hisM b2307 JW2304,Escherichia coli (strain K12),238,26870
P0AEW6,reviewed,INGK_ECOLI,Guanosine-inosine kinase (EC 2.7.1.73),gsk b0477 JW0466,Escherichia coli (strain K12),434,48449
P0AEW9,reviewed,K1PF_ECOLI,1-phosphofructokinase (EC 2.7.1.56) (Fructose 1-phosphate kinase) (Fru1PK),fruK fpk b2168 JW2155,Escherichia coli (strain K12),312,33756
P0AEX5,reviewed,KPPR_ECOLI,Probable phosphoribulokinase (PRK) (PRKase) (EC 2.7.1.19) (Phosphopentokinase),prkB yhfF b3355 JW3318,Escherichia coli (strain K12),289,32344
P0AEX7,reviewed,LIVH_ECOLI,High-affinity branched-chain amino acid transport system permease protein LivH (LIV-I protein H),livH b3457 JW3422,Escherichia coli (strain K12),308,32982
P0AEX9,reviewed,MALE_ECOLI,Maltose/maltodextrin-binding periplasmic protein (MMBP) (Maltodextrin-binding protein) (Maltose-binding protein) (MBP),malE b4034 JW3994,Escherichia coli (strain K12),396,43388
P0AEY3,reviewed,MAZG_ECOLI,Nucleoside triphosphate pyrophosphohydrolase (NTP-PPase) (EC 3.6.1.8),mazG b2781 JW2752,Escherichia coli (strain K12),263,30412
P0AEZ3,reviewed,MIND_ECOLI,Septum site-determining protein MinD (Cell division inhibitor MinD),minD b1175 JW1164,Escherichia coli (strain K12),270,29614
P0AF01,reviewed,MODB_ECOLI,Molybdenum transport system permease protein ModB,modB chlJ b0764 JW0747,Escherichia coli (strain K12),229,24939
P0AF03,reviewed,MOG_ECOLI,Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75),mog chlG mogA yaaG b0009 JW0008,Escherichia coli (strain K12),195,21222
P0AF08,reviewed,APBC_ECOLI,Iron-sulfur cluster carrier protein,mrp b2113 JW2100,Escherichia coli (strain K12),369,39938
P0AF28,reviewed,NARL_ECOLI,Nitrate/nitrite response regulator protein NarL,narL frdR b1221 JW1212,Escherichia coli (strain K12),216,23927
P0AF67,reviewed,TSAE_ECOLI,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaE),tsaE yjeE b4168 JW4126,Escherichia coli (strain K12),153,16853
P0AF98,reviewed,LPTF_ECOLI,Lipopolysaccharide export system permease protein LptF,lptF yjgP b4261 JW4218,Escherichia coli (strain K12),366,40358
P0AFA2,reviewed,NARX_ECOLI,Nitrate/nitrite sensor protein NarX (EC 2.7.13.3),narX narR b1222 JW1213,Escherichia coli (strain K12),598,67084
P0AFA9,reviewed,NIKC_ECOLI,Nickel transport system permease protein NikC,nikC b3478 JW3443,Escherichia coli (strain K12),277,30362
P0AFB5,reviewed,NTRB_ECOLI,Sensory histidine kinase/phosphatase NtrB (EC 2.7.13.3) (EC 3.1.3.-) (Nitrogen regulation protein NR(II)) (Nitrogen regulator II) (NRII),glnL glnR ntrB b3869 JW3840,Escherichia coli (strain K12),349,38556
P0AFB8,reviewed,NTRC_ECOLI,DNA-binding transcriptional regulator NtrC (Nitrogen regulation protein NR(I)) (Nitrogen regulator I) (NRI),glnG glnT ntrC b3868 JW3839,Escherichia coli (strain K12),469,52255
P0AFH2,reviewed,OPPB_ECOLI,Oligopeptide transport system permease protein OppB,oppB b1244 JW1236,Escherichia coli (strain K12),306,33443
P0AFH6,reviewed,OPPC_ECOLI,Oligopeptide transport system permease protein OppC,oppC b1245 JW1237,Escherichia coli (strain K12),302,33022
P0AFI2,reviewed,PARC_ECOLI,DNA topoisomerase 4 subunit A (EC 5.6.2.2) (Topoisomerase IV subunit A),parC b3019 JW2987,Escherichia coli (strain K12),752,83831
P0AFK4,reviewed,POTB_ECOLI,Spermidine/putrescine transport system permease protein PotB,potB b1125 JW1111,Escherichia coli (strain K12),275,31062
P0AFK6,reviewed,POTC_ECOLI,Spermidine/putrescine transport system permease protein PotC,potC b1124 JW1110,Escherichia coli (strain K12),264,29111
P0AFK9,reviewed,POTD_ECOLI,Spermidine/putrescine-binding periplasmic protein (SPBP),potD b1123 JW1109,Escherichia coli (strain K12),348,38867
P0AFL1,reviewed,POTI_ECOLI,Putrescine transport system permease protein PotI,potI b0857 JW0841,Escherichia coli (strain K12),281,30541
P0AFM2,reviewed,PROX_ECOLI,Glycine betaine/proline betaine-binding periplasmic protein (GBBP),proX proU b2679 JW2654,Escherichia coli (strain K12),330,36023
P0AFN6,reviewed,YADH_ECOLI,Inner membrane transport permease YadH,yadH b0128 JW0124,Escherichia coli (strain K12),256,28516
P0AFP9,reviewed,YBHR_ECOLI,Probable multidrug ABC transporter permease YbhR,ybhR b0792 JW5803,Escherichia coli (strain K12),368,41566
P0AFQ2,reviewed,YBHS_ECOLI,Probable multidrug ABC transporter permease YbhS,ybhS b0793 JW0777,Escherichia coli (strain K12),377,42060
P0AFR7,reviewed,YCJO_ECOLI,Inner membrane ABC transporter permease protein YcjO,ycjO b1311 JW1304,Escherichia coli (strain K12),293,33225
P0AFR9,reviewed,YDCV_ECOLI,Inner membrane ABC transporter permease protein YdcV,ydcV b1443 JW1438,Escherichia coli (strain K12),264,28722
P0AFS1,reviewed,LSRD_ECOLI,Autoinducer 2 import system permease protein LsrD (AI-2 import system permease protein LsrD),lsrD ydeZ b1515 JW1508,Escherichia coli (strain K12),330,34456
P0AFT2,reviewed,TCYL_ECOLI,L-cystine transport system permease protein TcyL,tcyL yecS b1918 JW1903,Escherichia coli (strain K12),222,24801
P0AFU0,reviewed,YEJB_ECOLI,Inner membrane ABC transporter permease protein YejB,yejB b2178 JW2166,Escherichia coli (strain K12),364,40360
P0AFU4,reviewed,GLRR_ECOLI,Transcriptional regulatory protein GlrR,glrR yfhA b2554 JW2538,Escherichia coli (strain K12),444,49148
P0AFY6,reviewed,SBMA_ECOLI,Peptide antibiotic transporter SbmA,sbmA b0377 JW0368,Escherichia coli (strain K12),406,46459
P0AFZ7,reviewed,TRKH_ECOLI,Trk system potassium uptake protein TrkH,trkH b3849 JW5576,Escherichia coli (strain K12),483,52960
P0AG20,reviewed,RELA_ECOLI,GTP pyrophosphokinase (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase) (ppGpp synthase I),relA b2784 JW2755,Escherichia coli (strain K12),744,83876
P0AG30,reviewed,RHO_ECOLI,Transcription termination factor Rho (EC 3.6.4.-) (ATP-dependent helicase Rho),rho nitA psuA rnsC sbaA tsu b3783 JW3756,Escherichia coli (strain K12),419,47004
P0AG40,reviewed,RIBF_ECOLI,Bifunctional riboflavin kinase/FMN adenylyltransferase (Riboflavin biosynthesis protein RibF) [Includes: Riboflavin kinase (EC 2.7.1.26) (Flavokinase); FMN adenylyltransferase (EC 2.7.7.2) (FAD pyrophosphorylase) (FAD synthase)],ribF yaaC b0025 JW0023,Escherichia coli (strain K12),313,34734
P0AG78,reviewed,SUBI_ECOLI,Sulfate-binding protein (Sulfate starvation-induced protein 2) (SSI2),sbp b3917 JW3888,Escherichia coli (strain K12),329,36659
P0AG80,reviewed,UGPB_ECOLI,sn-glycerol-3-phosphate-binding periplasmic protein UgpB (Bile-responsive chaperone),ugpB b3453 JW3418,Escherichia coli (strain K12),438,48449
P0AG82,reviewed,PSTS_ECOLI,Phosphate-binding protein PstS (PBP),pstS phoS b3728 JW3706,Escherichia coli (strain K12),346,37024
P0AGG0,reviewed,THIL_ECOLI,Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16),thiL b0417 JW0407,Escherichia coli (strain K12),325,35071
P0AGH1,reviewed,YHHJ_ECOLI,Inner membrane transport permease YhhJ,yhhJ b3485 JW5677,Escherichia coli (strain K12),374,41062
P0AGH3,reviewed,SAPB_ECOLI,Putrescine export system permease protein SapB,sapB b1293 JW1286,Escherichia coli (strain K12),321,36038
P0AGH5,reviewed,SAPC_ECOLI,Putrescine export system permease protein SapC,sapC b1292 JW1285,Escherichia coli (strain K12),296,31548
P0AGH8,reviewed,PSTC_ECOLI,Phosphate transport system permease protein PstC,pstC phoW b3727 JW3705,Escherichia coli (strain K12),319,34121
P0AGI1,reviewed,RBSC_ECOLI,Ribose import permease protein RbsC,rbsC b3750 JW3729,Escherichia coli (strain K12),321,33452
P0AGI4,reviewed,XYLH_ECOLI,Xylose transport system permease protein XylH,xylH b3568 JW3540,Escherichia coli (strain K12),393,41031
P0AGJ9,reviewed,SYY_ECOLI,Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS),tyrS b1637 JW1629,Escherichia coli (strain K12),424,47527
P0C0K3,reviewed,SRKA_ECOLI,Stress response kinase A (EC 2.7.11.1) (Serine/threonine protein kinase YihE) (Serine/threonine-protein kinase SrkA),srkA rdoA yihE b3859 JW3831,Escherichia coli (strain K12),328,38120
P0C0U4,reviewed,RIMK_ECOLI,Ribosomal protein bS6--L-glutamate ligase (EC 6.3.2.-) (Polyglutamate synthase) (Ribosomal protein bS6 modification protein),rimK b0852 JW0836,Escherichia coli (strain K12),300,32436
P0DMC5,reviewed,RCSC_ECOLI,Sensor histidine kinase RcsC (EC 2.7.13.3) (Capsular synthesis regulator component C),rcsC b2218 JW5917/JW5920,Escherichia coli (strain K12),949,106506
P0DP69,reviewed,PHNE1_ECOLI,Putative cryptic phosphonate transport system permease protein PhnE1,phnE1 b4104 JW4065,Escherichia coli (strain K12),206,22797
P0DP70,reviewed,PHNE2_ECOLI,Putative cryptic phosphonate transport system permease protein PhnE2,phnE phnE2 b4103 JW4065,Escherichia coli (strain K12),122,13335
P0DP92,reviewed,BCSQ_ECOLI,Cellulose biosynthesis protein BcsQ,bcsQ yhjQ,Escherichia coli (strain K12),250,27878
P10346,reviewed,GLNQ_ECOLI,Glutamine transport ATP-binding protein GlnQ,glnQ b0809 JW0794,Escherichia coli (strain K12),240,26731
P10378,reviewed,ENTE_ECOLI,"Enterobactin synthase component E (EC 6.3.2.14) (2,3-dihydroxybenzoate-AMP ligase) (DHB-AMP ligase) (2,3-dihydroxybenzoate-AMP synthase) (EC 6.2.1.71) (Dihydroxybenzoic acid-activating enzyme) (Enterochelin synthase E)",entE b0594 JW0586,Escherichia coli (strain K12),536,59112
P10408,reviewed,SECA_ECOLI,Protein translocase subunit SecA (EC 7.4.2.8),secA azi pea prlD b0098 JW0096,Escherichia coli (strain K12),901,102023
P10905,reviewed,UGPA_ECOLI,sn-glycerol-3-phosphate transport system permease protein UgpA,ugpA b3452 JW3417,Escherichia coli (strain K12),295,33264
P10906,reviewed,UGPE_ECOLI,sn-glycerol-3-phosphate transport system permease protein UgpE,ugpE b3451 JW3416,Escherichia coli (strain K12),281,31500
P10907,reviewed,UGPC_ECOLI,sn-glycerol-3-phosphate import ATP-binding protein UgpC (EC 7.6.2.10),ugpC b3450 JW3415,Escherichia coli (strain K12),356,39524
P11071,reviewed,ACEK_ECOLI,Isocitrate dehydrogenase kinase/phosphatase (IDH kinase/phosphatase) (IDHK/P) (EC 2.7.11.5) (EC 3.1.3.-),aceK b4016 JW3976,Escherichia coli (strain K12),578,67699
P11454,reviewed,ENTF_ECOLI,Enterobactin synthase component F (EC 6.3.2.14) (Enterochelin synthase F) (Nonribosomal peptide synthetase EntF) [Includes: L-serine--[L-seryl-carrier protein] ligase (EC 6.2.1.72) (Serine-activating enzyme) (Seryl-AMP ligase)],entF b0586 JW0578,Escherichia coli (strain K12),1293,141991
P11553,reviewed,FUCK_ECOLI,L-fuculokinase (EC 2.7.1.51) (L-fuculose kinase),fucK b2803 JW2774,Escherichia coli (strain K12),472,52259
P11664,reviewed,YGGC_ECOLI,Uncharacterized protein YggC,yggC b2928 JW2895,Escherichia coli (strain K12),237,27132
P11868,reviewed,TDCD_ECOLI,Propionate kinase (EC 2.7.2.15),tdcD yhaA b3115 JW5806,Escherichia coli (strain K12),402,43384
P11875,reviewed,SYR_ECOLI,Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS),argS b1876 JW1865,Escherichia coli (strain K12),577,64683
P11880,reviewed,MURF_ECOLI,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme) (UDP-MurNAc-pentapeptide synthetase),murF mra b0086 JW0084,Escherichia coli (strain K12),452,47447
