Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/21/d5c0409d24545d8e1975cfdc0bf9d6/250625_Stitch_S4611_IB_TPP_stauros_treat_T4_rep4_R1.mzML,/nextflow_runs/work/93/926a0a4e2d95ad220653b60c33e0b0/250625_Stitch_S4611_IB_TPP_stauros_treat_T4_rep2_R1.mzML,/nextflow_runs/work/69/f85b93db9e34d2529e73b620d4524e/250625_Stitch_S4610_IB_TPP_stauros_control_T4_rep4_R1.mzML,/nextflow_runs/work/74/e0cf66cc722ed1285cb1cbcfc26fcc/250625_Stitch_S4611_IB_TPP_stauros_treat_T4_rep3_R1.mzML,/nextflow_runs/work/9f/7ceb0175e1c81fada40264a9bd4876/250625_Stitch_S4611_IB_TPP_stauros_treat_T4_rep1_R1.mzML,/nextflow_runs/work/ab/bd0c6ba4de0964352a132f168071a6/250625_Stitch_S4610_IB_TPP_stauros_control_T4_rep1_R1.mzML,/nextflow_runs/work/d4/a2fed89bac78aaf88800451e7e35f5/250625_Stitch_S4610_IB_TPP_stauros_control_T4_rep3_R1.mzML,/nextflow_runs/work/c2/591c476288ded598123ae1dccdf598/250625_Stitch_S4610_IB_TPP_stauros_control_T4_rep2_R1.mzML
P97450,P97450,ATP5J_MOUSE,Atp5pf,"ATP synthase-coupling factor 6, mitochondrial",148881,142073,171843,188995,213563,185364,219373,171755
P97452,P97452,BOP1_MOUSE,Bop1,Ribosome biogenesis protein BOP1,12110.4,24237.3,17742.1,14719.4,19707,20358.8,17022.4,21058.7
P97454,P97454,SMAD5_MOUSE,Smad5,Mothers against decapentaplegic homolog 5,23674.2,13110.8,15733.4,15606.2,13262.4,14738.3,15415.1,11690.8
P97457,P97457,MYL11_MOUSE,Myl11,Myosin regulatory light chain 11,15616.1,,23103.7,,71266.5,137182,33256.1,
P97461,P97461,RS5_MOUSE,Rps5,Small ribosomal subunit protein uS7,3.32E+06,2.96E+06,3.71E+06,3.61E+06,3.16E+06,3.97E+06,3.75E+06,3.69E+06
P97464,P97464,EXT1_MOUSE,Ext1,Exostosin-1,6435.3,,5343.9,3404.01,4704.51,5027.86,4489.88,4683.39
P97465,P97465,DOK1_MOUSE,Dok1,Docking protein 1,,,1058.17,,6159.61,,,3584.53
P97467,P97467,AMD_MOUSE,Pam,Peptidyl-glycine alpha-amidating monooxygenase,,4350.06,,3618.63,3849.72,3956.85,3965,
P97468,P97468,CML1_MOUSE,Cmklr1,Chemerin-like receptor 1,16739.5,10587.1,10502.3,,,13800.2,,12312.5
P97470,P97470,PP4C_MOUSE,Ppp4c,Serine/threonine-protein phosphatase 4 catalytic subunit,45556.2,59351.7,54274.4,53200.8,51619.8,65535.2,63104,76237
P97471,P97471,SMAD4_MOUSE,Smad4,Mothers against decapentaplegic homolog 4,82561.5,85099.5,81109.9,89854.3,93715.5,88893.5,82338.1,98763.9
P97473,P97473,TRBP2_MOUSE,Tarbp2,RISC-loading complex subunit TARBP2,21521.2,32921.3,30715.5,26960.2,29551.4,21651,26415.4,29987.8
P97477,P97477,AURKA_MOUSE,Aurka,Aurora kinase A,138292,88530.2,151352,146398,130099,114821,150320,122140
P97478,P97478,COQ7_MOUSE,Coq7,"5-demethoxyubiquinone hydroxylase, mitochondrial",907074,844039,867307,847284,894302,757585,882632,869843
P97493,P97493,THIOM_MOUSE,Txn2,"Thioredoxin, mitochondrial",15834.2,21036.2,8911.13,16494,16456.7,23871.8,26222.7,31077.9
P97494,P97494,GSH1_MOUSE,Gclc,Glutamate--cysteine ligase catalytic subunit,1.45E+06,1.48E+06,1.47E+06,1.56E+06,1.57E+06,1.65E+06,1.57E+06,1.60E+06
P97496,P97496,SMRC1_MOUSE,Smarcc1,SWI/SNF complex subunit SMARCC1,12256.5,10855.9,17455.6,14351.1,16915.5,11365.1,12936.6,12026.5
P97496;Q6PDG5,P97496;Q6PDG5,SMRC1_MOUSE;SMRC2_MOUSE,Smarcc1;Smarcc2,SWI/SNF complex subunit SMARCC1,94781.8,120973,98962.1,119483,101272,107541,112278,122468
P97499,P97499,TEP1_MOUSE,Tep1,Telomerase protein component 1,51033.8,58733.7,55365,56704.7,60023.1,53404.7,56664.8,58814.6
P97501,P97501,FMO3_MOUSE,Fmo3,Flavin-containing monooxygenase 3,1.79E+06,1.92E+06,1.92E+06,1.92E+06,1.87E+06,1.99E+06,1.93E+06,2.07E+06
P97501;Q8VHG0,P97501;Q8VHG0,FMO3_MOUSE;FMO4_MOUSE,Fmo3;Fmo4,Flavin-containing monooxygenase 3,1.34E+06,1.14E+06,1.38E+06,1.39E+06,1.08E+06,1.33E+06,1.41E+06,1.21E+06
P97717,P97717,ADA1B_MOUSE,Adra1b,Alpha-1B adrenergic receptor,17394.4,17089.1,12443.7,10549.3,17164,16864,16764.2,11436.5
P97742,P97742,CPT1A_MOUSE,Cpt1a,"Carnitine O-palmitoyltransferase 1, liver isoform",1.25E+06,1.34E+06,1.31E+06,1.48E+06,1.53E+06,1.53E+06,1.40E+06,1.61E+06
P97760,P97760,RPB3_MOUSE,Polr2c,DNA-directed RNA polymerase II subunit RPB3,47213.7,40441.2,42139,38358.8,42767.5,30619.1,49230.7,33319.9
P97765,P97765,WBP2_MOUSE,Wbp2,WW domain-binding protein 2,237081,225796,246217,271700,250607,240981,247730,257120
P97770,P97770,THUM3_MOUSE,Thumpd3,tRNA (guanine(6)-N2)-methyltransferase THUMP3,68356.2,87134.8,79313.7,70734,70394.1,71597.2,77474.6,71613.8
P97784,P97784,CRY1_MOUSE,Cry1,Cryptochrome-1,18417.6,14993.9,19333.6,13806.6,12673.3,20362.2,16734.9,20481.1
P97785,P97785,GFRA1_MOUSE,Gfra1,GDNF family receptor alpha-1,21955.2,24298,23707.5,19368.1,26217.2,20907.9,28132.2,23826.8
P97789,P97789,XRN1_MOUSE,Xrn1,5'-3' exoribonuclease 1,60733.5,49085.2,56797.9,55812,56835.9,55507.7,55766.7,59689.3
P97792,P97792,CXAR_MOUSE,Cxadr,Coxsackievirus and adenovirus receptor homolog,180922,208319,185461,156690,139968,240229,280692,198930
P97797,P97797,SHPS1_MOUSE,Sirpa,Tyrosine-protein phosphatase non-receptor type substrate 1,20884,18319.7,13825.5,15672.3,15059.6,17758.9,22021.9,14268.7
P97798,P97798,NEO1_MOUSE,Neo1,Neogenin,39216.4,33138.6,29793.2,28617.5,26711.1,36132.5,38474.3,34273.2
P97801,P97801,SMN_MOUSE,Smn1,Survival motor neuron protein,,5312.98,4972.2,4605.23,7821.07,2300.13,,
P97807,P97807,FUMH_MOUSE,Fh,"Fumarate hydratase, mitochondrial",3.97E+06,4.04E+06,4.00E+06,4.08E+06,4.07E+06,3.88E+06,3.97E+06,4.43E+06
P97819,P97819,PLPL9_MOUSE,Pla2g6,85/88 kDa calcium-independent phospholipase A2,41677.2,39363.2,44722.3,42891.9,41758.4,47110.5,47554.7,45844.3
P97820,P97820,M4K4_MOUSE,Map4k4,Mitogen-activated protein kinase kinase kinase kinase 4,3540.72,3720.44,6060.44,4213.27,8599.03,8507.22,3905.65,7908.95
P97820;Q9JM52,P97820;Q9JM52,M4K4_MOUSE;MINK1_MOUSE,Map4k4;Mink1,Mitogen-activated protein kinase kinase kinase kinase 4,30397.4,31330.2,22732.9,22245.7,66990.9,20995.4,23734.4,33121.6
P97821,P97821,CATC_MOUSE,Ctsc,Dipeptidyl peptidase 1,569852,569218,626849,615008,702606,672030,665372,644725
P97822,P97822,AN32E_MOUSE,Anp32e,Acidic leucine-rich nuclear phosphoprotein 32 family member E,42751,44625.5,46613.2,47043,41473.2,44911.2,49944.2,51834.5
P97823,P97823,LYPA1_MOUSE,Lypla1,Acyl-protein thioesterase 1,3.01E+06,2.75E+06,2.91E+06,2.82E+06,2.66E+06,2.28E+06,2.80E+06,2.53E+06
P97855,P97855,G3BP1_MOUSE,G3bp1,Ras GTPase-activating protein-binding protein 1,548306,579317,604191,583920,505894,519167,527139,572964
P97863,P97863,NFIB_MOUSE,Nfib,Nuclear factor 1 B-type,63158.4,58412,59346.1,50540.1,61615,81271.4,72273.6,67224.4
P97863;Q02780,P97863;Q02780,NFIA_MOUSE;NFIB_MOUSE,Nfia;Nfib,Nuclear factor 1 B-type,33968.4,37983.4,28619.4,27217.7,29321.8,37814,35533.8,37089.2
P97864,P97864,CASP7_MOUSE,Casp7,Caspase-7,178181,175282,201028,205739,224708,235254,183794,190601
P97868,P97868,RBBP6_MOUSE,Rbbp6,E3 ubiquitin-protein ligase RBBP6,64422.9,66581,59100.7,59686.4,60836.1,57502,62912.8,63998.6
P97872,P97872,FMO5_MOUSE,Fmo5,Flavin-containing monooxygenase 5,2.86E+06,3.03E+06,3.15E+06,3.20E+06,2.90E+06,3.04E+06,3.23E+06,3.30E+06
P97930,P97930,KTHY_MOUSE,Dtymk,Thymidylate kinase,138061,114238,140968,127424,134256,132946,126547,126406
P98063,P98063,BMP1_MOUSE,Bmp1,Bone morphogenetic protein 1,48153,36356.4,44358,32050.4,43756.6,38899.1,40607.1,41837.5
P98064,P98064,MASP1_MOUSE,Masp1,Mannan-binding lectin serine protease 1,92615.9,86118.2,95415.5,91084.6,87733.6,91787.2,86893.3,95829.1
P98078,P98078,DAB2_MOUSE,Dab2,Disabled homolog 2,104412,111114,118466,120265,101549,114939,122052,116066
P98083,P98083,SHC1_MOUSE,Shc1,SHC-transforming protein 1,78794.6,68879.6,92134.9,69218.9,80576.1,104242,84495.4,73286.1
P98086,P98086,C1QA_MOUSE,C1qa,Complement C1q subcomponent subunit A,98461.3,81779.3,91661,97193.4,69278.3,65601.4,100295,86141.7
P98156,P98156,VLDLR_MOUSE,Vldlr,Very low-density lipoprotein receptor,,1723.05,,,,,1126.21,
P98192,P98192,GNPAT_MOUSE,Gnpat,Dihydroxyacetone phosphate acyltransferase,69878.2,62145.9,76071,58737.8,69498.3,62048.1,81198.6,70541.7
P98195,P98195,ATP9B_MOUSE,Atp9b,Probable phospholipid-transporting ATPase IIB,72030.5,83104.4,76280.8,65479.4,85227.8,85010.5,87341.5,85804.5
P98197,P98197,AT11A_MOUSE,Atp11a,Phospholipid-transporting ATPase IH,10114.3,3364.98,5140.67,4018.61,6266.32,3291.64,5553.07,4410.24
P98197;Q6DFW5;Q9QZW0,P98197;Q6DFW5;Q9QZW0,AT11A_MOUSE;AT11B_MOUSE;AT11C_MOUSE,Atp11a;Atp11b;Atp11c,Phospholipid-transporting ATPase IH,371030,593672,418425,499405,397238,759899,645587,605742
P98197;Q9QZW0,P98197;Q9QZW0,AT11A_MOUSE;AT11C_MOUSE,Atp11a;Atp11c,Phospholipid-transporting ATPase IH,442700,557312,433460,409912,315286,457920,499261,461383
P98199,P98199,AT8B2_MOUSE,Atp8b2,Phospholipid-transporting ATPase ID,,,57807.4,47414.5,81451.5,32323.4,51978.2,45546.6
P98203,P98203,ARVC_MOUSE,Arvcf,Splicing regulator ARVCF,23706.5,35511.3,26376.2,23173.4,18965.3,36768.4,40618.3,32799.2
P98203;Q3UYV9,P98203;Q3UYV9,ARVC_MOUSE;NCBP1_MOUSE,Arvcf;Ncbp1,Splicing regulator ARVCF,16259,15140.1,24436.4,19841.9,16721.4,30041.6,21435.6,18966.3
P99024,P99024,TBB5_MOUSE,Tubb5,Tubulin beta-5 chain,1.28E+06,1.19E+06,1.39E+06,1.42E+06,1.33E+06,1.28E+06,1.26E+06,1.22E+06
P99024;Q7TMM9,P99024;Q7TMM9;Q9CWF2;Q9ERD7,TBB2A_MOUSE;TBB5_MOUSE,Tubb2a;Tubb5,Tubulin beta-5 chain,1.62E+06,1.91E+06,2.02E+06,2.08E+06,1.35E+06,1.17E+06,1.63E+06,1.45E+06
P99025,P99025,GFRP_MOUSE,Gchfr,GTP cyclohydrolase 1 feedback regulatory protein,280165,206419,429421,364127,417217,527614,335653,373640
P99026,P99026,PSB4_MOUSE,Psmb4,Proteasome subunit beta type-4,3.96E+06,3.19E+06,3.67E+06,3.79E+06,3.64E+06,3.07E+06,3.22E+06,3.21E+06
P99027,P99027,RLA2_MOUSE,Rplp2,Large ribosomal subunit protein P2,6.46E+06,4.62E+06,6.54E+06,6.62E+06,6.60E+06,6.15E+06,5.95E+06,6.23E+06
P99028,P99028,QCR6_MOUSE,Uqcrh,"Cytochrome b-c1 complex subunit 6, mitochondrial",874304,802691,923016,935551,1.04E+06,881231,1.17E+06,910155
P99029,P99029,PRDX5_MOUSE,Prdx5,"Peroxiredoxin-5, mitochondrial",1.20E+07,9.27E+06,1.25E+07,1.26E+07,1.10E+07,9.87E+06,1.07E+07,1.07E+07
Q00262,Q00262,STX2_MOUSE,Stx2,Syntaxin-2,48753.3,53645.8,62007.6,62027.3,55989.6,66678.3,68695.2,63373.7
Q00420,Q00420,GABP1_MOUSE,Gabpb1,GA-binding protein subunit beta-1,29793.3,26145.2,29744.3,27994.9,32849.6,23048,38043.7,23808.4
Q00422,Q00422,GABPA_MOUSE,Gabpa,GA-binding protein alpha chain,47706.5,41266.2,51904,46330.6,49472.9,47529,50458,52418.9
Q00519,Q00519,XDH_MOUSE,Xdh,Xanthine dehydrogenase/oxidase,942132,996124,1.01E+06,1.04E+06,922781,940626,923627,1.05E+06
Q00558,Q00558,HAP40_MOUSE,F8a1,40-kDa huntingtin-associated protein,19840,15415.1,30887.8,20336,30789.9,31013,20005.6,32557.7
Q00560,Q00560,IL6RB_MOUSE,Il6st,Interleukin-6 receptor subunit beta,70693.6,87080.4,87649.6,86827.7,76043.2,88075.7,88970.2,96278.4
Q00612,Q00612,G6PD1_MOUSE,G6pdx,Glucose-6-phosphate 1-dehydrogenase X,174415,186943,195025,188232,228169,181879,191907,208004
Q00623,Q00623,APOA1_MOUSE,Apoa1,Apolipoprotein A-I,5.21E+06,5.09E+06,5.53E+06,5.78E+06,5.74E+06,5.54E+06,5.37E+06,5.60E+06
Q00651,Q00651,ITA4_MOUSE,Itga4,Integrin alpha-4,19167.3,38225.7,15099.6,8216.26,22492.3,16982.4,13293.9,17716.4
Q00724,Q00724,RET4_MOUSE,Rbp4,Retinol-binding protein 4,1.09E+06,1.11E+06,1.36E+06,1.43E+06,1.27E+06,1.20E+06,1.34E+06,1.07E+06
Q00897,Q00897,A1AT4_MOUSE,Serpina1d,Alpha-1-antitrypsin 1-4,1.77E+06,1.92E+06,1.85E+06,1.91E+06,1.78E+06,2.48E+06,1.63E+06,1.87E+06
Q00898,Q00898,A1AT5_MOUSE,Serpina1e,Alpha-1-antitrypsin 1-5,103123,104764,129789,119335,150363,174775,133004,127836
Q00899,Q00899;Q3TTC2,TYY1_MOUSE,Yy1,Transcriptional repressor protein YY1,49524.1,60029.1,54563.4,52912.6,45022,58969.1,60679.2,60458.5
Q00915,Q00915,RET1_MOUSE,Rbp1,Retinol-binding protein 1,143084,133086,143016,161015,140598,175522,154897,169802
Q00977,Q00977,CXB2_MOUSE,Gjb2,Gap junction beta-2 protein,27520.2,17252.5,27008.1,21775,18290.2,28071.5,19346.5,26356.4
Q00PI9,Q00PI9,HNRL2_MOUSE,Hnrnpul2,Heterogeneous nuclear ribonucleoprotein U-like protein 2,254672,233493,234289,233646,245206,220689,236286,237240
Q01063,Q01063,PDE4D_MOUSE,Pde4d,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",6568.97,8704.86,9169.02,10756.7,13974.9,6456.09,6656.18,8204.2
Q01147,Q01147,CREB1_MOUSE,Creb1,Cyclic AMP-responsive element-binding protein 1,,,11584.2,11903.2,,11525.8,,
Q01149,Q01149,CO1A2_MOUSE,Col1a2,Collagen alpha-2(I) chain,48819,72808.5,48464.6,55654.8,53671.9,136543,60877.8,123879
Q01237,Q01237,HMDH_MOUSE,Hmgcr,3-hydroxy-3-methylglutaryl-coenzyme A reductase,30721.8,25997.1,25880.3,26225,24141.8,27241.1,34303.5,32911.1
Q01279,Q01279,EGFR_MOUSE,Egfr,Epidermal growth factor receptor,511437,560991,579219,516596,528033,607206,647027,602984
Q01339,Q01339,APOH_MOUSE,Apoh,Beta-2-glycoprotein 1,1.30E+06,1.17E+06,1.32E+06,1.24E+06,1.24E+06,1.32E+06,1.38E+06,1.36E+06
Q01405,Q01405,SC23A_MOUSE,Sec23a,Protein transport protein Sec23A,1.28E+06,1.18E+06,1.35E+06,1.43E+06,1.28E+06,1.33E+06,1.31E+06,1.33E+06
Q01405;Q9D662,Q01405;Q9D662,SC23A_MOUSE;SC23B_MOUSE,Sec23a;Sec23b,Protein transport protein Sec23A,65213.3,46044.2,82565,94667.4,76831.2,126925,80376.3,86901.3
Q01514,Q01514,GBP1_MOUSE,Gbp1,Guanylate-binding protein 1,44268.3,38182.8,44181.3,40759.9,42015.6,47034.3,38628.6,42388.1
Q01514;Q9Z0E6,Q01514;Q9Z0E6,GBP1_MOUSE;GBP2_MOUSE,Gbp1;Gbp2,Guanylate-binding protein 1,47950.5,47540.3,53716.4,62205,48883.1,52038.1,45070.1,52917.3
Q01705,Q01705,NOTC1_MOUSE,Notch1,Neurogenic locus notch homolog protein 1,12332.6,14902.7,12490.6,13220.6,17467.8,10404.3,10646.6,14015
Q01730,Q01730,RSU1_MOUSE,Rsu1,Ras suppressor protein 1,526775,651786,604098,575526,491694,430715,530651,552277
Q01768,Q01768,NDKB_MOUSE,Nme2,Nucleoside diphosphate kinase B,2.78E+06,2.40E+06,3.13E+06,3.27E+06,2.74E+06,3.51E+06,2.81E+06,2.93E+06
Q01853,Q01853,TERA_MOUSE,Vcp,Transitional endoplasmic reticulum ATPase,7.16E+06,6.58E+06,7.38E+06,7.32E+06,7.01E+06,7.25E+06,6.42E+06,7.28E+06
Q01965,Q01965,LY9_MOUSE,Ly9,T-lymphocyte surface antigen Ly-9,4333.13,2529.5,3585.37,3690.93,4177.94,4446.92,5444.21,
Q02013,Q02013,AQP1_MOUSE,Aqp1,Aquaporin-1,1.32E+06,1.51E+06,1.23E+06,1.23E+06,1.15E+06,1.34E+06,1.41E+06,1.26E+06
Q02053,Q02053,UBA1_MOUSE,Uba1,Ubiquitin-like modifier-activating enzyme 1,1.81E+06,1.71E+06,2.00E+06,1.96E+06,1.92E+06,1.81E+06,1.75E+06,1.95E+06
Q02105,Q02105,C1QC_MOUSE,C1qc,Complement C1q subcomponent subunit C,37668,43654.1,45850.2,45591.8,40357.1,44533.6,52413,46851.1
Q02248,Q02248,CTNB1_MOUSE,Ctnnb1,Catenin beta-1,392409,647286,436208,363764,305116,649408,735675,492320
Q02248;Q02257,Q02248;Q02257,CTNB1_MOUSE;PLAK_MOUSE,Ctnnb1;Jup,Catenin beta-1,144964,163379,109553,108988,96083.1,213720,198824,168018
Q02257,Q02257,PLAK_MOUSE,Jup,Junction plakoglobin,236034,339260,244443,209728,175099,293088,357806,256407
Q02357,Q02357,ANK1_MOUSE,Ank1,Ankyrin-1,103472,91663.1,102529,96957.2,108584,104277,109303,111866
Q02614,Q02614,S30BP_MOUSE,Sap30bp,SAP30-binding protein,54766.5,52026.6,55173.4,47933.6,72215.2,47891.5,46782.8,50478.4
Q02780,Q02780,NFIA_MOUSE,Nfia,Nuclear factor 1 A-type,360223,276203,438185,441659,332972,453769,415330,434389
Q02819,Q02819,NUCB1_MOUSE,Nucb1,Nucleobindin-1,493554,445562,499915,683536,541589,522890,789534,460363
Q02858,Q02858,TIE2_MOUSE,Tek,Angiopoietin-1 receptor,19831.4,17379.5,18139.7,18474.6,14227.9,12473.7,22890.7,19664.9
Q02956,Q02956,KPCZ_MOUSE,Prkcz,Protein kinase C zeta type,12130.7,9858.24,6997.58,10209.6,10930.6,11903.9,9626.36,11347.3
Q02956;Q62074,Q02956;Q62074,KPCI_MOUSE;KPCZ_MOUSE,Prkci;Prkcz,Protein kinase C zeta type,15224.1,14787,16860.1,19301.8,19468,12111.2,15233.1,15593.9
Q03141,Q03141,MARK3_MOUSE,Mark3,MAP/microtubule affinity-regulating kinase 3,67324.6,80715.7,46090.6,85491.1,85489.5,46067.4,53736.3,56328.2
Q03141;Q05512,Q03141;Q05512;Q8VHJ5,MARK2_MOUSE;MARK3_MOUSE,Mark2;Mark3,MAP/microtubule affinity-regulating kinase 3,191402,181027,151222,205616,190266,98644.6,117208,108351
Q03142,Q03142,FGFR4_MOUSE,Fgfr4,Fibroblast growth factor receptor 4,5671.94,5395.07,6465.33,6432.94,4957.54,5779.27,7165.66,6650.85
Q03145,Q03145,EPHA2_MOUSE,Epha2,Ephrin type-A receptor 2,25576.2,20537.5,25901.4,19457.3,16558.4,22118.1,21111.2,24751.2
Q03147,Q03147,CDK7_MOUSE,Cdk7,Cyclin-dependent kinase 7,73947.3,65673.9,55758.1,65028.5,55302.1,57448,65974.1,66540.3
Q03160,Q03160,GRB7_MOUSE,Grb7,Growth factor receptor-bound protein 7,189763,212854,178842,172869,184588,195911,192970,194080
Q03172,Q03172,ZEP1_MOUSE,Hivep1,Zinc finger protein 40,301097,111818,199784,190123,123332,110232,139081,97803.6
Q03249,Q03249,GALT_MOUSE,Galt,Galactose-1-phosphate uridylyltransferase,844778,791920,811607,888779,863503,811213,869261,917022
Q03265,Q03265,ATPA_MOUSE,Atp5f1a,"ATP synthase subunit alpha, mitochondrial",2.66E+07,2.17E+07,2.99E+07,2.90E+07,2.69E+07,2.91E+07,2.39E+07,2.49E+07
Q03311,Q03311,CHLE_MOUSE,Bche,Cholinesterase,855969,883539,783429,863050,784143,780948,852803,814387
Q03734,Q03734;P29621,SPA3M_MOUSE,Serpina3m,Serine protease inhibitor A3M,107294,101906,88239.8,96623.1,99391.7,95175.4,103133,100213
Q03958,Q03958,PFD6_MOUSE,Pfdn6,Prefoldin subunit 6,12782.3,,13760.1,19282.5,15838.9,3901.95,12869.3,9436.67
Q03963,Q03963,E2AK2_MOUSE,Eif2ak2,"Interferon-induced, double-stranded RNA-activated protein kinase",50320,50375.3,56737.6,58133.9,54913,65007.2,56746.3,74720.3
Q04207,Q04207,TF65_MOUSE,Rela,Transcription factor p65,112453,107354,117459,115131,109437,111993,116289,116071
Q04447,Q04447,KCRB_MOUSE,Ckb,Creatine kinase B-type,219783,196197,219415,216568,205167,262334,216347,264008
Q04519,Q04519,ASM_MOUSE,Smpd1,Sphingomyelin phosphodiesterase,47503.5,47299.5,49857.9,44483.6,37704.3,44505.3,43141.2,46719
Q04592,Q04592,PCSK5_MOUSE,Pcsk5,Proprotein convertase subtilisin/kexin type 5,7094.18,11206.2,6356.52,8660.42,4333.16,4881.9,4776.73,5586.66
Q04690,Q04690,NF1_MOUSE,Nf1,Neurofibromin,12613.5,10364.5,6763.92,14675.4,7102.07,8634.33,10185.7,9698.6
Q04692,Q04692,SMRCD_MOUSE,Smarcad1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1,15117.6,14381.6,12334.3,24879.2,,8914.59,12855.2,
Q04736,Q04736,YES_MOUSE,Yes1,Tyrosine-protein kinase Yes,127230,138516,120373,127837,121215,119665,129415,129987
Q04750,Q04750,TOP1_MOUSE,Top1,DNA topoisomerase 1,120696,142350,137178,137091,118066,126908,140339,138810
Q04841,Q04841,3MG_MOUSE,Mpg,DNA-3-methyladenine glycosylase,2205.04,3301.04,1979.13,1848.84,2592.14,2657.43,3280.03,
Q04857,Q04857,CO6A1_MOUSE,Col6a1,Collagen alpha-1(VI) chain,6753.42,12591,10464.4,13047.2,6463.39,10672.6,9478.51,9272.93
Q04859,Q04859,MAK_MOUSE,Mak,Serine/threonine-protein kinase MAK,32743,73745.7,62497.9,62919.3,70739.6,48175,,58700.1
Q04891,Q04891,SOX13_MOUSE,Sox13,Transcription factor SOX-13,,6657.92,,5048.52,3985.1,,2182.84,
Q04899,Q04899,CDK18_MOUSE,Cdk18,Cyclin-dependent kinase 18,16417,19801.2,16500,14937.7,20321.6,13787.1,14490.4,15548.2
Q04899;Q8K0D0,Q8K0D0;Q04899,CDK17_MOUSE;CDK18_MOUSE,Cdk17;Cdk18,Cyclin-dependent kinase 18,34452.9,36000.3,23426.7,32013.9,34877.6,20731.8,21159.1,24588.3
Q05117,Q05117,PPA5_MOUSE,Acp5,Tartrate-resistant acid phosphatase type 5,52524.5,65871.9,59477.2,62563,,79266.9,52385.7,62474.3
Q05144,Q05144,RAC2_MOUSE,Rac2,Ras-related C3 botulinum toxin substrate 2,100934,106585,130482,126627,119524,163435,148471,141803
Q05186,Q05186,RCN1_MOUSE,Rcn1,Reticulocalbin-1,181759,173866,185241,195015,175447,187944,188178,181148
Q05421,Q05421,CP2E1_MOUSE,Cyp2e1,Cytochrome P450 2E1,6.27E+06,6.32E+06,7.52E+06,8.28E+06,8.05E+06,9.69E+06,7.87E+06,7.91E+06
Q05512,Q05512,MARK2_MOUSE,Mark2,Serine/threonine-protein kinase MARK2,44651.4,45514.3,25118.5,45807.8,50649.3,22782.9,31725.7,29280.4
Q05685,Q05685,FOLR2_MOUSE,Folr2,Folate receptor beta,59964.9,59794.6,60168.5,74120.4,57671.3,67231.9,74342.3,62467.4
Q05793,Q05793,PGBM_MOUSE,Hspg2,Basement membrane-specific heparan sulfate proteoglycan core protein,278977,266970,285424,255305,250590,281197,296145,354317
Q05816,Q05816,FABP5_MOUSE,Fabp5,Fatty acid-binding protein 5,3.67E+06,3.43E+06,4.24E+06,4.79E+06,4.07E+06,4.32E+06,3.84E+06,4.18E+06
Q05909,Q05909,PTPRG_MOUSE,Ptprg,Receptor-type tyrosine-protein phosphatase gamma,13652.1,13112.1,9894.77,16149.7,15378.7,16948.8,13978.5,12956.9
Q05915,Q05915,GCH1_MOUSE,Gch1,GTP cyclohydrolase 1,454116,497278,481338,487904,453183,496048,450669,487992
Q05920,Q05920,PYC_MOUSE,Pc,"Pyruvate carboxylase, mitochondrial",1.12E+07,1.02E+07,1.28E+07,1.28E+07,1.19E+07,1.22E+07,1.10E+07,1.20E+07
Q05BC3,Q05BC3,EMAL1_MOUSE,Eml1,Echinoderm microtubule-associated protein-like 1,52565.8,45911,48411.2,52087.9,43081,44874.3,44575.6,50861.4
Q05CL8,Q05CL8,LARP7_MOUSE,Larp7,La-related protein 7,51023.3,49158.5,55108.3,49374.6,51075.7,47356.9,49532.1,49398.6
Q05D44,Q05D44,IF2P_MOUSE,Eif5b,Eukaryotic translation initiation factor 5B,438851,446683,478013,483070,475070,465528,473564,493962
Q06138,Q06138,CAB39_MOUSE,Cab39,Calcium-binding protein 39,198247,248063,225102,249156,233441,265766,230974,256740
Q06138;Q9DB16,Q06138;Q9DB16,CAB39_MOUSE;CB39L_MOUSE,Cab39;Cab39l,Calcium-binding protein 39,58125.5,80470.6,69838.3,86797.1,75917.8,96432.4,75658.1,83726
Q06180,Q06180,PTN2_MOUSE,Ptpn2,Tyrosine-protein phosphatase non-receptor type 2,22951.3,13895.9,12495.5,10259.6,16623.7,11671.8,14987.3,10218.6
Q06185,Q06185,ATP5I_MOUSE,Atp5me,"ATP synthase subunit e, mitochondrial",1.22E+07,1.06E+07,1.23E+07,1.32E+07,9.37E+06,1.06E+07,1.13E+07,9.38E+06
Q06335,Q06335,APLP2_MOUSE,Aplp2,Amyloid beta precursor like protein 2,24472.4,31523.4,31910.6,24019,34122.9,35779.6,33939.2,24878.8
Q06649,Q06649,3BP2_MOUSE,Sh3bp2,SH3 domain-binding protein 2,27588.7,28473.1,34089.2,26459.9,32032.5,32700.8,33422.5,32947.8
Q06770,Q06770,CBG_MOUSE,Serpina6,Corticosteroid-binding globulin,440482,455460,449704,484906,467483,421287,473386,459781
Q06890,Q06890,CLUS_MOUSE,Clu,Clusterin,299299,293007,315598,296839,288678,310948,320081,309594
Q06986,Q06986,SIAH2_MOUSE,Siah2,E3 ubiquitin-protein ligase SIAH2,17692.8,18566.6,19715.4,23405.8,,18514.6,15853.1,19206.9
